puzzle,solution,length of solution,time(s),Nodes expanded,,,length of solution,time(s),Nodes expanded,,length of solution,average time(s),average Nodes expanded
"(0, 1, 2, 3, 5, 9, 15, 4, 11, 6, 7, 8, 13, 10, 14, 12)","['DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN']",24,0.103079319,627,,,4,0.00019002,4,,30,21.2950561,4659.818182
"(6, 1, 5, 3, 2, 8, 7, 4, 9, 10, 0, 11, 13, 14, 15, 12)","['UP', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN']",20,0.013337374,201,,,4,0.000130415,4,,32,41.0496095,9326.6
"(1, 3, 0, 4, 5, 2, 7, 8, 9, 6, 10, 11, 13, 14, 15, 12)","['LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN']",6,0.000211954,6,,,4,0.00015831,4,,,,
"(2, 5, 3, 4, 10, 0, 6, 8, 1, 9, 7, 11, 13, 14, 15, 12)","['LEFT', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN']",12,0.00042367,14,,,4,0.00013566,4,,,,
"(1, 2, 8, 3, 5, 6, 7, 4, 0, 9, 10, 12, 13, 14, 11, 15)","['RIGHT', 'RIGHT', 'UP', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'RIGHT']",10,0.000417471,14,,,4,0.000142336,4,,,,
"(2, 3, 4, 8, 1, 5, 7, 0, 13, 6, 11, 12, 14, 9, 15, 10)","['UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'RIGHT', 'DOWN']",20,0.007981062,140,,,4,0.000119925,4,,,,
"(1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 11, 12, 13, 10, 14, 15)","['LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",6,0.000210762,6,,,4,0.000140429,4,,,,
"(2, 3, 7, 4, 5, 1, 6, 8, 10, 11, 14, 12, 9, 0, 13, 15)","['RIGHT', 'UP', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",16,0.000559807,21,,,4,0.00011158,4,,,,
"(0, 2, 3, 4, 1, 7, 10, 8, 5, 9, 11, 12, 13, 6, 14, 15)","['DOWN', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT']",12,0.000425577,14,,,4,0.000156164,4,,,,
"(2, 3, 4, 8, 1, 5, 7, 0, 13, 6, 11, 12, 10, 9, 14, 15)","['UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT']",14,0.000379562,14,,,4,0.000111818,4,,,,
