puzzle,solution,length of solution,time(s)
"(1, 2, 3, 4, 10, 0, 6, 8, 5, 14, 7, 11, 9, 13, 15, 12)","['LEFT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN']",10,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15)","['RIGHT', 'RIGHT', 'DOWN', 'RIGHT']",4,0.0
"(1, 6, 2, 4, 5, 0, 3, 7, 9, 10, 15, 8, 13, 14, 12, 11)","['UP', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN']",10,0.0
"(1, 3, 0, 4, 5, 2, 6, 8, 9, 10, 7, 12, 13, 14, 11, 15)","['LEFT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT']",6,0.0
"(0, 2, 3, 4, 1, 6, 7, 8, 5, 14, 10, 12, 9, 13, 11, 15)","['DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'RIGHT']",8,0.0
"(1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 10, 11, 13, 14, 15, 12)","['DOWN', 'RIGHT', 'RIGHT', 'DOWN']",4,0.0
"(1, 3, 0, 4, 5, 2, 6, 8, 9, 11, 7, 12, 13, 10, 14, 15)","['LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT']",8,0.0
"(1, 3, 0, 4, 5, 2, 7, 8, 9, 6, 15, 11, 13, 10, 14, 12)","['LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN']",8,0.015625953674316406
"(1, 2, 0, 8, 5, 6, 4, 3, 9, 10, 7, 12, 13, 14, 11, 15)","['DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT']",8,0.0
"(0, 5, 3, 4, 2, 10, 6, 8, 1, 9, 7, 12, 13, 14, 11, 15)","['DOWN', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT']",12,0.015630245208740234
"(1, 2, 3, 4, 5, 6, 7, 8, 14, 13, 10, 11, 9, 0, 15, 12)","['UP', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'RIGHT', 'DOWN']",8,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 13, 10, 14, 0)","['UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT']",6,0.0
"(1, 2, 3, 4, 5, 0, 11, 8, 9, 7, 6, 12, 13, 10, 14, 15)","['DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",8,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 13, 14, 11, 0)","['UP', 'LEFT', 'DOWN', 'RIGHT']",4,0.0
"(1, 3, 0, 4, 5, 2, 12, 7, 9, 6, 10, 8, 13, 14, 11, 15)","['LEFT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT']",10,0.015625715255737305
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 12, 0)","['LEFT', 'UP', 'RIGHT', 'DOWN']",4,0.0
"(1, 3, 7, 4, 5, 2, 8, 0, 9, 6, 10, 12, 13, 14, 11, 15)","['LEFT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT']",8,0.0156252384185791
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15)","['RIGHT', 'RIGHT']",2,0.0
"(1, 2, 0, 4, 5, 6, 3, 8, 9, 10, 7, 11, 13, 14, 15, 12)","['DOWN', 'DOWN', 'RIGHT', 'DOWN']",4,0.0
"(1, 2, 3, 4, 5, 7, 11, 8, 9, 6, 0, 12, 13, 10, 14, 15)","['UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",6,0.01562666893005371
"(1, 6, 2, 3, 5, 0, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12)","['UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'DOWN']",6,0.0
"(1, 3, 4, 7, 5, 2, 6, 8, 9, 10, 0, 11, 13, 14, 15, 12)","['RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN']",10,0.0156252384185791
"(1, 2, 4, 8, 5, 6, 3, 12, 0, 9, 7, 15, 13, 11, 10, 14)","['RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT']",14,0.0
"(1, 6, 2, 4, 10, 9, 3, 8, 0, 14, 7, 11, 5, 13, 15, 12)","['DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'DOWN']",14,0.03128385543823242
"(1, 2, 3, 4, 5, 10, 6, 7, 9, 11, 0, 12, 13, 14, 8, 15)","['LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN']",12,0.0
"(1, 2, 0, 3, 6, 7, 8, 4, 5, 9, 10, 11, 13, 14, 15, 12)","['RIGHT', 'DOWN', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT', 'DOWN']",10,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15)","['RIGHT', 'RIGHT', 'DOWN', 'RIGHT']",4,0.0
